main_category,title,description
Grocery,Dark Roast Pure Coffee,[]
Grocery,PICARAS Galletas Peruanas Bañadas en Chocolate 6 units x 40 gr. ( 2 Pack ),['2 Bags of PICARAS Galletas Bañadas en Chocolate 240 gr. (6 units of 40 gr.). Total cookies in each pack 24. Imported from Peru.']
Grocery,Chipped Beef and Gravy By Patterson's - Great for Breakfast or Dinner - 8 Ounce Cans - 6 Cans Per Case,"[""Delicious corned beef gravy is ready when you are with these convenient cans from Patterson's. Simply heat and serve! Convenient for breakfast, brunch or supper.""]"
Grocery,"Asher's Sugar Free Milk Chocolate Cordial Cherries Gift Box, 1 Pound",[]
Grocery,Messmer Peppermint 25 bags (6er pack),[]
Grocery,"Crystal Light Peach Tea Drink Mix (36 Pitcher Packets, 6 Canisters of 6)",['Crystal Light Peach Tea is a peach flavored ice that that is easy to make and refreshing to you.']
Grocery,Chincoteague Seafood 90944 Vegetable Red Crab Soup,['Vegetable Red Crab Soup is a colorful combination of juicy crab meat a kaleidoscope of fresh traditional vegetables - tomatoes potatoes green beans corn lima beans carrots onions celery and a generous splash of seasonings. No MSG Preservatives Artificial Flavorings or Colorings...Simmering excitement from the Shore Just heat and serve. Makes 2 servingsIngredientsWater tomatoes crab meat green beans peas tomato puree carrots corn lima beans onions potatoes modified food starch celery okra soybean oil crab seasoning salt spices celery seed paprika salt natural lobster flavor natural beef flavor sugar natural flavor enhancer hydrolyzed wheat gluten soy soy oil soy lecithin and spices. contains crab meat soybean oil natural lobster flavor wheat gluten soy soy oil soy lecithin.Features. Categories - Soups Chilis. Packaging Type - Prepackaged. Product Line - Soups. Item Weight - 15 oz. Case pack - 12 units. Dimension - 12 X 9 X 4.5 in.. Weight - 15 lbs']
Amazon Home,"Lmtime Double Wall Glass Leak-Proof Water Bottle Tea Cups with Strainer,Portable Water Separation Tea Filter Cup Leaf-Tea Separation Infuser Tumbler",[]
Industrial & Scientific,"Vintners Best Fruit Wine Base-Rhubarb,128 oz","[""Rhubarb Fruit Wine Base is perfect for making your favorite fruit wines all year long. Available all year, these bases procduce 5 gallons of high quality wine at about 10% ABV and you don't even have have to wait until your favorite fruit to be in season. Even better is that no pH or acid adjustments are required. Simply dillute the one gallon fruit base into four gallons of water and pitch your favorite yeast strain. Our wine bases are made from all natural fruit juice and do not need to be strained or placed into any sort of mesh bag!!! Start making your favorite fruit juices today!A blend of juice concentrates, corn syrup, citric acid and natural flavor designed to make a fermentable base for rhubarb wine blend at 18.9 Brix. The product is blended, pasteurized and can be stored at ambient temperature. Acidity : 2.4; 2.2 - 2.6 % w/w (as citric acid) (AOAC Method 942.15)""]"
Grocery,Yuengling Medium Wing Sauce 13 oz,"['A perfect balance of heat, slight sweetness, butter and garlic flavor, finishing with a pallet cleansing burst of vinegar. Sauce Style: Balance Between Flavor and Heat. Calories: 25 per serving (2 tables). Package Size/Type: 13oz Glass Bottle, Wrap Body Label/Neck Shroud.']"
